approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-05-18T00:19:14+00:00	8317644802		171-5776321-2507512	CustomerServiceIssue	1030700_EAN	X001P8LWWT	B0BRXJ9Q4G	Cubelelo Drift 3M Plus v2 3x3 (Magnetic) Cube | New Upgraded Version Based on MoYu RS3M v5 | Dual-Adjustment System | Premium Speedcube for Kids Boys Girls Ages 4+ Year Old & Adults	NewItem	INR	564.23	564.23	1	0	1		
2026-05-17T23:31:44+00:00	8317629762		403-3813381-4441133	CustomerReturn	1630201	X001I5SK8D	B09QMNCWYG	Cubelelo Drift Infinity Cube (Green) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	NewItem	INR	199.80	199.80	1	0	1		
2026-05-17T22:10:29+00:00	8318205522		171-0255347-4879508	CustomerReturn	1040400	X002DFU80F	B0FL7TDJLF	Cubelelo Drift 4x4 Stickerless Cube Puzzle Toy | Combines Smoothness, Stability & Durability | 4x4x4 Speedcube for Beginners| Suitable for Kids Ages 6 to 14 Years Old, Boys, Girls & Adults	NewItem	INR	284.42	284.42	1	0	1		
2026-05-17T18:52:35+00:00	8317496992		171-7199696-1303527	CustomerReturn	1290300	X00239RFKR	B0DB6311DK	Cubelelo Drift Megaminx v2 Cube (New Improved Version) | 12-Sided Fun and Challenging Puzzle with Ridge Design | Smooth Turning Dodecahedron | Perfect for Speed-Cubing | Ideal for Kids & Adults	NewItem	INR	133.58	133.58	1	0	1		
2026-05-17T15:37:58+00:00	8317226232		408-7388985-2908301	CustomerReturn	1460553	X001WPZI9N	B0BYVHGR5H	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	NewItem	INR	379.66	379.66	1	0	1		
2026-05-17T15:19:36+00:00	8316977352		402-3739908-5539561	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-05-17T14:29:55+00:00	8317421422		408-9976305-6718705	CustomerReturn	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-05-17T12:20:04+00:00	8316760112		404-2170685-8147539	CustomerReturn	1630210	X00262W227	B09HH8CC7Y	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	NewItem	INR	155.89	155.89	1	0	1		
2026-05-17T11:05:24+00:00	8299834632	12555915412	S02-1508968-8658467	Lost_Outbound	4001001a	X001VD95XL	B0CJBLTM11	Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts	NewItem	INR	33.08	33.08	1		1		
2026-05-17T10:10:16+00:00	8300001212	12556272162	S02-1508968-8658467	Damaged_Outbound	1120100	X0019BU32H	B08LBGYZ51	Cubelelo Drift 3x3 Mirror (Silver) Magic Speed Cube | Shape Shifter Speedcube with Durable Stickers | Advanced 3x3x3 Puzzle Toy for Kids Ages 7-14 Boys Girls & Adults | Collector's Item	NewItem	INR	53.21	53.21	1		1		
